priority;video_id;timeline;claimed;uploaded;is_edited
1;@alexandercaballeroficial_6866641501338864898;00:10;0;0;0.5
2;@alexandercaballeroficial_6955936319277255941;00:46;0;0;0.0
3;@alexandercaballeroficial_6943774584365665541;01:02;0;0;0.0
4;@alexandercaballeroficial_6877348423637552385;01:23;0;0;0.0
5;@alexandercaballeroficial_6912645119355227397;01:41;0;0;0.0
6;@alexandercaballeroficial_6943869721808817414;01:52;0;0;0.0
7;@alexandercaballeroficial_6949701944424271110;02:08;0;0;0.0
8;@alexandercaballeroficial_6966011604190121221;02:18;0;0;0.0
9;@alexandercaballeroficial_6873965764404137217;02:28;0;0;0.0
10;@alexandercaballeroficial_6918147636646120709;02:35;0;0;0.0
