video_id;timeline;is_claimed;is_uploaded
@itsyurrboiameer_6791572376992697606;0:00:10;0;0
@cznburak_6899757185266420993;0:00:25;0;0
@jackson.jo_6886333782358609154;0:00:36;0;0
@brysiuofficial_6826297428300369158;0:00:46;0;0
@ligmafrenchfries_6836563530473344261;0:00:57;1;0
@realhyperman_6826701337095425285;0:01:12;1;0
@thekhaleesicat_6854586589989833990;0:01:31;0;0
@topperguild_6779009226204302598;0:01:37;0;0
@julissavazquezs_6793953633818987782;0:02:05;0;0
@gauravarora_5_6776218358133067009;0:02:10;0;0
@calebcutler_6659201787062390022;0:02:21;0;0
@surbhiirathore3_6753805644568055041;0:02:36;0;0
@_chloe_aesthetics_6756698672613936390;0:02:50;0;0
@natashakhanal25_6753383764296076550;0:03:00;0;0
@nguyen2ngan_6856289470732422402;0:03:08;0;0
@sarah_crybaby_6801285729054952709;0:03:25;0;0
@shmeksss_6921332628691881218;0:03:36;1;0
@smile_bam_6896779960359406849;0:04:04;1;0
@satisfyingusa_6820510634963143942;0:05:04;0;0
@rockytiger3076_6818904933367024898;0:05:47;0;0
@taras.tolstikov_6957277807219068165;0:06:01;0;0
@wasildaoud_6932568246314896645;0:07:00;0;0
@sandwoah_6856104120009493766;0:07:20;0;0
@theshilpashetty_6780922396946861317;0:08:13;1;0
@zayn_inzi_6903019256724622593;0:08:28;1;0
@mgtenazas_6766131573898136838;0:08:41;0;0
@ilusha_help_6826803160842079494;0:09:15;0;0
@nitishandgroupfb_6797586177122700545;0:09:37;0;0
@youneszarou_6800725196450909445;0:09:49;0;0
@piyushnagar77_6782116473985879297;0:10:15;0;0
@deepesh_zo_6838644387279359233;0:10:26;0;0
@sam.spitz_6820363687908347142;0:11:24;0;0
@cznburak_6917216459420716289;0:11:39;1;0
@samuelgrubbs_6869149203290000645;0:11:54;0;0
@valeriandalex_6769436839116819717;0:12:08;0;0
@riyaz.14_6752413625463426306;0:12:22;0;0
@romper_6894608724938231045;0:12:32;0;0
@cutybeautykhan_6813037754943802626;0:12:44;0;0
@ox_zung_6918375185200598273;0:12:51;0;0
@harelasafs_6927953729798884609;0:13:09;0;0
@stuntman.sam_6811619120983854341;0:13:20;0;0
@fitness.samka_6942899980390649090;0:13:36;1;0
@dave.xp_6773848914371153158;0:13:57;1;0
@atul_bhoyar__6805776402562944258;0:14:09;1;0
@shridhar.n.kasulla_6781621537695927553;0:14:28;1;0
@thesortarican_6788833646091504902;0:14:41;1;0
@theneilhenry_6811146060178803974;0:14:54;0;0
@itsnastynaz_6777417884479114502;0:15:09;0;0
@atul_bhoyar__6784617002574138626;0:15:27;1;0
@jamescharles_6768188988441332998;0:15:42;0;0
