video_id;timeline;is_claimed;is_uploaded
@faithlovehopev_6817598532254518534;0:00:10;0;0
@ashleyetaylor_6764711771375750405;0:00:21;0;0
@mr.arnav...07_6748023651062385921;0:00:35;0;0
@jiraer23_6931461393459809542;0:00:49;1;0
@kiki.tiel_6902455027269389570;0:00:59;0;0
@wonguy_6785814499849997574;0:01:14;0;0
@takshiexxel13_6968334512304524545;0:01:26;0;0
@aryanshii09_6801426507702062337;0:01:36;0;0
@mahesh_production_6782915631038631173;0:01:49;0;0
@relaxedbryan_6957882564694658309;0:02:03;0;0
@elcalentano0_6896358086685068550;0:02:11;0;0
@shabaz_sameena_6788481393468001537;0:02:24;1;0
@cutybeautykhan_6810934048320441602;0:03:20;0;0
@petyyyyyy_6880479698007215362;0:03:34;0;0
@mackenziesol_6931837986405371141;0:03:44;0;0
@malorielynn14_6702952481954991366;0:03:59;0;0
@jigpx_6905042838283668742;0:04:10;1;0
@azchpn_6894578098059201794;0:04:20;0;0
@sebastian_schieren_6760330888699038981;0:04:34;0;0
@funnyspecialeffectscar_6831082356342836486;0:04:49;0;0
@arel_lauratv_6933999401245478150;0:04:59;0;0
@slickbartender_6910765409725779206;0:05:06;0;0
@davidbeck_6899530795900341506;0:05:22;0;0
@tillyramsay_6946241145101929734;0:05:53;0;0
@namenimsand_6911607360075091202;0:06:01;0;0
@martamie_6857491416654810374;0:06:14;0;0
@arminluk_6922800763450232069;0:06:46;0;0
@nintendo.grl_6899095245141691650;0:07:22;0;0
@venera_creations_6770755985565945093;0:08:08;0;0
@jayprehistoricpets_6947659301704060166;0:09:03;0;0
@.baby.frogs_6955517063230278918;0:09:14;0;0
@joeyklaasen_6783794952003489030;0:09:35;0;0
@gima_ashi_6659701953607519494;0:09:45;0;0
@samayranarula_6819540512102534401;0:09:59;0;0
@oye_indori_6789477688701717761;0:10:14;0;0
@macrofying_6856046336433769733;0:10:27;0;0
@ruicarlota_6920747130336349445;0:10:56;0;0
@jaykindafunny8_6945255252593528070;0:11:15;0;0
@adamw_6954085641089010949;0:11:23;0;0
@jaykindafunny8_6911384624874736902;0:11:54;0;0
@duduyuzaitt_6899483984619638021;0:12:12;0;0
@aryanverma_001_6799176966512741634;0:12:27;0;0
@longneck_6799859472131951877;0:12:48;0;0
@kind_____official_6801804091803667717;0:12:57;0;0
@lana.timon_6837867237286612230;0:13:06;0;0
@condsty_6799582703667694853;0:13:17;0;0
@minecraft_noon_6887911738507840770;0:13:29;1;0
@spider_slack_6909833888189648133;0:13:59;0;0
@fishermanchristian_6931974545175792902;0:14:13;0;0
@cayladiane94_6917372597252459781;0:14:20;0;0
@ox_zung_6957703087750466818;0:14:50;1;0
@monkeykeer_6969149464758013190;0:15:02;1;0
@beatboxjcop_6889681500137164034;0:15:17;0;0
@khaby.lame_6948740634060639493;0:15:56;0;0
