video_id;timeline;is_claimed;is_uploaded
@jackson.jo_6886333782358609154;0:00:10;0;0
@overtime_6835772648190938373;0:00:20;0;0
@takshiexxel13_6968334512304524545;0:00:29;0;0
@khaby.lame_6949115989145537797;0:00:39;0;0
@aryanshii09_6801426507702062337;0:00:49;0;0
@mahesh_production_6782915631038631173;0:01:02;0;0
@relaxedbryan_6957882564694658309;0:01:16;0;0
@julissavazquezs_6793953633818987782;0:01:24;0;0
@blaze_6803524613360962821;0:01:29;0;0
@jigpx_6905042838283668742;0:01:42;0;0
@sakshammagic_6827733470681304326;0:01:52;0;0
@surbhiirathore3_6753805644568055041;0:01:59;0;0
@tillyramsay_6946241145101929734;0:02:13;1;0
@shmeksss_6921332628691881218;0:02:21;0;0
@iamdaud.14_6779131730709286145;0:02:49;0;0
@smile_bam_6896779960359406849;0:03:33;0;0
@itsnastynaz_6767200939032988934;0:04:33;0;0
@noelquidlat_6944606415654849794;0:04:45;1;0
@nintendo.grl_6899095245141691650;0:05:02;0;0
@jewelmitcell_6852130765212306693;0:05:48;0;0
@ammye1921_6763575556085648642;0:06:13;0;0
@pearjake_6820796563728747782;0:06:25;0;0
@nitishandgroupfb_6797586177122700545;0:06:46;0;0
@ahmed__art_6955377267795152134;0:06:58;0;0
@samayranarula_6819540512102534401;0:07:06;0;0
@deepesh_zo_6838644387279359233;0:07:21;0;0
@sam.spitz_6820363687908347142;0:08:19;1;0
@samuelgrubbs_6869149203290000645;0:08:34;0;0
@kiran__raj_6837817770122497282;0:08:48;0;0
@foodie.beats_6917599459073412354;0:08:58;0;0
@therajpalofficial_6799976839457623297;0:09:19;0;0
@swagboyq_6770770283994352901;0:09:34;0;0
@jammonkey_6839607199438753029;0:09:48;0;0
@spider_slack_6909833888189648133;0:10:33;0;0
@cayladiane94_6917372597252459781;0:10:47;1;0
@youneszarou_6932043807835852037;0:11:17;0;0
@khaby.lame_6949854998838660357;0:11:32;0;0
@beatboxjcop_6889681500137164034;0:12:02;0;0
@animaledventures_6807560022919302405;0:12:41;0;0
@lovelydrxgon_6907005147801521413;0:12:47;0;0
@xoxosantana_6861261005922536709;0:13:14;0;0
@shridhar.n.kasulla_6781621537695927553;0:13:26;0;0
@jebunggg_6843456587017866497;0:13:39;0;0
@khaby.lame_6948740634060639493;0:13:47;0;0
@theneilhenry_6811146060178803974;0:14:17;0;0
@spencer2thewest_6916965467907263750;0:14:32;0;0
@atul_bhoyar__6784617002574138626;0:14:40;0;0
@jamescharles_6768188988441332998;0:14:55;0;0
