video_id;timeline;is_claimed;is_uploaded
@cznburak_6899757185266420993;0:00:10;0;0
@leorsaghian5_6856594764410653957;0:00:21;0;0
@brysiuofficial_6826297428300369158;0:00:32;0;0
@funnyvids2k21_6913865911485074690;0:00:43;0;0
@paky__official_6794133511474351365;0:00:50;0;0
@deliciousfood66_6966048395966385414;0:01:16;0;0
@shabaz_sameena_6788481393468001537;0:01:38;0;0
@dogdog5200_6946374270452845830;0:02:34;0;0
@petyyyyyy_6880479698007215362;0:02:43;0;0
@gauravarora_5_6776218358133067009;0:02:53;1;0
@azchpn_6894578098059201794;0:03:04;1;0
@sebastian_schieren_6760330888699038981;0:03:18;0;0
@serovski_family_6852379643350158598;0:03:33;1;0
@funnyvids2k21_6911397395402165505;0:04:21;0;0
@davidbeck_6899530795900341506;0:04:28;0;0
@theshilpashetty_6792797083767246086;0:04:59;0;0
@martamie_6857491416654810374;0:05:09;0;0
@taras.tolstikov_6957277807219068165;0:05:41;0;0
@sandwoah_6856104120009493766;0:06:40;1;0
@theshilpashetty_6780922396946861317;0:07:33;0;0
@zayn_inzi_6903019256724622593;0:07:48;0;0
@.baby.frogs_6955517063230278918;0:08:01;0;0
@thematblackshow_6937901763752234246;0:08:22;0;0
@eliefeghaly7_6927853379196652802;0:09:21;0;0
@macrofying_6856046336433769733;0:09:35;0;0
@_mochafrappe__6807185269867957509;0:10:04;0;0
@ruicarlota_6920747130336349445;0:10:15;0;0
@jaykindafunny8_6945255252593528070;0:10:34;0;0
@gofetch_6815510962989288709;0:10:42;0;0
@officialmikehammer_6936448668891417861;0:10:54;0;0
@theliceangels_6876871769878203654;0:11:53;0;0
@riyaz.14_6752413625463426306;0:12:13;0;0
@longneck_6799859472131951877;0:12:23;0;0
@ahmad_ataki_6788170115016903942;0:12:32;0;0
@im_ewing__6815759097355357446;0:12:42;0;0
@garett__nolan_6886863579765689606;0:13:06;0;0
@monkeykeer_6969149464758013190;0:13:19;1;0
@fitness.samka_6942899980390649090;0:13:34;1;0
@atul_bhoyar__6805776402562944258;0:13:55;1;0
@mattzworld_6831372615160958213;0:14:14;0;0
@celinedept_6785902395219037445;0:14:30;0;0
@riyaz.14_6796522197201571074;0:14:44;0;0
@thesortarican_6788833646091504902;0:14:57;0;0
