video_id;timeline;is_claimed;is_uploaded;is_edited
@abrameng_6852099259865615622;0:00:21;0;1;1
@mr.arnav...07_6748023651062385921;0:00:36;0;1;1
@haseenansari094_6839351112647052546;0:00:52;0;1;1
@cznburak_6899757185266420993;0:01:04;1;1;1
@jiraer23_6931461393459809542;0:01:15;1;0;1
@khaby.lame_6949115989145537797;0:01:26;0;1;1
@mattstauffer3_6786036492658560262;0:02:15;0;1;1
@deliciousfood66_6966048395966385414;0:02:38;0;1;1
@realhyperman_6826701337095425285;0:02:58;1;0;1
@cutybeautykhan_6810934048320441602;0:03:13;0;1;1
@blaze_6803524613360962821;0:03:27;1;0;1
@calebcutler_6659201787062390022;0:03:43;0;1;1
@surbhiirathore3_6753805644568055041;0:03:58;0;1;1
@_chloe_aesthetics_6756698672613936390;0:04:09;0;1;1
@serovski_family_6852379643350158598;0:04:58;1;0;1
@cat_kitty66_6866927712745901318;0:05:05;0;1;1
@arel_lauratv_6933999401245478150;0:05:13;0;1;1
@namenimsand_6911607360075091202;0:05:27;1;0;1
@smile_bam_6896779960359406849;0:06:28;0;1;1
@memmesson_6830076172534172933;0:06:42;1;0;1
@rockytiger3076_6818904933367024898;0:06:57;0;1;1
@taras.tolstikov_6957277807219068165;0:07:57;0;1;1
@wasildaoud_6932568246314896645;0:08:18;0;1;1
@saifbmx19_6818395093867760898;0:08:29;0;1;1
@joeyklaasen_6783794952003489030;0:08:40;0;1;1
@jazlynebaybee_6814512525250530566;0:08:56;0;1;1
@thematblackshow_6937901763752234246;0:09:56;0;1;1
@ruicarlota_6920747130336349445;0:10:16;1;0;1
@cznburak_6917216459420716289;0:10:32;0;1;1
@carlylassley_6902782417698852102;0:10:45;0;1;1
@therajpalofficial_6799976839457623297;0:11:01;0;1;1
@romper_6894608724938231045;0:11:14;0;1;1
@lana.timon_6837867237286612230;0:11:26;0;1;1
@ox_zung_6938406663749684481;0:11:40;0;1;1
@ox_zung_6918375185200598273;0:11:59;0;1;1
@amazonprimevideo_6859881508983934214;0:12:19;0;1;1
@harelasafs_6927953729798884609;0:12:31;0;1;1
@naz2608_6770363633705782533;0:12:47;0;1;1
@theneilhenry_6802639131571801349;0:13:06;0;1;1
@youneszarou_6932043807835852037;0:13:22;0;1;1
@monkeykeer_6969149464758013190;0:13:38;0;1;1
@stuntman.sam_6811619120983854341;0:13:55;0;1;1
@animaledventures_6807560022919302405;0:14:02;0;1;1
@cznburak_6803727949368626438;0:14:18;0;1;1
@celinedept_6785902395219037445;0:14:33;0;1;1
@fredziownik_art_6911406868699073798;0:15:00;1;0;1
@itsnastynaz_6777417884479114502;0:15:19;1;0;1
@atul_bhoyar__6784617002574138626;0:15:35;0;1;1
@bellapoarch_6862153058223197445;0:15:46;1;0;1
@jamescharles_6768188988441332998;0:16:02;0;1;1
