id;author;author_name;tk_id;views;hearts;comments;shares;created_date;tags;duration;music;music_url;post_url;local_download_path;local_edit_path;claimed;uploaded;last_update;is_downloaded
@mis_ar_6797294685082619137;mis_ara;;;180.5;0;0;0;0;mis_ara|woah|woahchallenge|foryou|fyp|meme|tiktok;17;_- Mis_Ara;;https://tiktok.com/@mis_ara/video/6797294685082619137;./downloaded/downloads\@mis_ar_6797294685082619137.mp4;;1;0;19-06-2021T18:39:56;0
@funnyvids2k21_6915785138202758401;funnyvids2k21;;;188.4;0;0;0;0;funnyvids2k21|foryou|foryoupage|tiktok|wee|funny|dog|animals|4u|xyzbca|fypage|fail|fyp|viral;7;.....Wiii;;https://tiktok.com/@funnyvids2k21/video/6915785138202758401;./downloaded/downloads\@funnyvids2k21_6915785138202758401.mp4;;1;0;25-06-2021T07:40:43;0
@samuelgrubbs_6869149203290000645;samuelgrubbs;;;135.1;0;0;0;0;samuelgrubbs|foryou|foryoupage|fyp|tiktok|viral|funny|trend|trending|funny|lol;14;M to the B;;https://tiktok.com/@samuelgrubbs/video/6869149203290000645;./downloaded/downloads\@samuelgrubbs_6869149203290000645.mp4;;0;1;21-06-2021T00:05:08;0
@mis_ar_6779561637419535618;mis_ara;;;166.7;0;0;0;0;mis_ara|woah|woahchallenge|foryou|tiktok|poodle|dogchallenge|dog|trick|dogtrick|_;13;_- Mis_Ara;;https://tiktok.com/@mis_ara/video/6779561637419535618;./downloaded/downloads\@mis_ar_6779561637419535618.mp4;;1;0;19-06-2021T18:39:56;0
@funnyvids2k21_6911397395402165505;funnyvids2k21;;;106.4;0;0;0;0;funnyvids2k21|foryou|foryoupage|4u|tiktok|animals|xyzbca|fypage|funny|wee|dog|fyp|viral|fy;7;.....Wiii;;https://tiktok.com/@funnyvids2k21/video/6911397395402165505;./downloaded/downloads\@funnyvids2k21_6911397395402165505.mp4;;0;1;23-06-2021T02:58:02;0
@sassybus_6856492553756265733;sassybus;;;98.1;0;0;0;0;sassybus|byetiktok|fyp|tiktok|busconversion|vanbuild;21;Backyard Boy;;https://tiktok.com/@sassybus/video/6856492553756265733;./downloaded/downloads\@sassybus_6856492553756265733.mp4;;1;0;19-06-2021T18:39:56;0
@mattzworl_6831372615160958213;mattzworld;;;185.9;0;0;0;0;mattzworld|foryou|foryoupage|tiktok;16;original sound;;https://tiktok.com/@mattzworld/video/6831372615160958213;./downloaded/downloads\@mattzworl_6831372615160958213.mp4;;0;1;19-06-2021T18:39:56;0
@atul_bhoyar_6805776402562944258;atul_bhoyar_;;;180.7;0;0;0;0;atul_bhoyar_|helo|heloapp|downloadhelonow|tiktokindia|foryoupage|tiktok|foryou|vairal;19;original sound - (_)atulbhoyar;;https://tiktok.com/@atul_bhoyar_/video/6805776402562944258;./downloaded/downloads\@atul_bhoyar_6805776402562944258.mp4;;1;0;19-06-2021T18:39:56;0
@cznburak_6803727949368626438;cznburak;;;181.8;0;0;0;0;cznburak|czn|cznburak|tiktok;15;SUPER MARIO RUN (Trap Remix);;https://tiktok.com/@cznburak/video/6803727949368626438;./downloaded/downloads\@cznburak_6803727949368626438.mp4;;0;1;19-06-2021T18:39:56;0
@theshilpashetty_6787674726841011461;theshilpashetty;;;150.2;0;0;0;0;theshilpashetty|fyp|tiktok|tiktokindia|throwback|throwbackthursday|throwbackthursdaysong|tbt;16;Chura Ke Dil Mera - From "Main Khiladi Tu Anari";;https://tiktok.com/@theshilpashetty/video/6787674726841011461;./downloaded/downloads\@theshilpashetty_6787674726841011461.mp4;;1;0;19-06-2021T18:39:56;0
@jordi.koalitic_6766627359857593605;jordi.koalitic;;;90.4;0;0;0;0;jordi.koalitic|jordikoalitic|viral|top|tiktok|amazing|photo|secret|art|foryou|magic|best;35;sonido original;;https://tiktok.com/@jordi.koalitic/video/6766627359857593605;./downloaded/downloads\@jordi.koalitic_6766627359857593605.mp4;;0;1;19-06-2021T18:39:56;0
@mrant_6758827220774538502;mranto;;;126.1;0;0;0;0;mranto|foryou|tiktok;23;My Type;;https://tiktok.com/@mranto/video/6758827220774538502;./downloaded/downloads\@mrant_6758827220774538502.mp4;;1;0;19-06-2021T18:39:56;0
@cznburak_6899757185266420993;cznburak;;;91.1;0;0;0;0;cznburak|cznburak|tiktok;11;som original;;https://tiktok.com/@cznburak/video/6899757185266420993;./downloaded/downloads\@cznburak_6899757185266420993.mp4;;1;1;19-06-2021T18:39:56;0
